Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
223,Sebastián Gómez,co COL,MF,Coritiba,30-001,1996,15,15,"1,194",13.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
224,Nuno Gonçalo Moreira,pt POR,MF,Vasco da Gama,26-353,1999,15,11,784,8.7,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
225,Rafael Gonzaga,br BRA,DF,Santos,18-117,2008,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Guga,br BRA,DF,Fluminense,27-279,1998,11,7,670,7.4,0,2,2,0,0,0,1,0,0,0.27,0.27,0,0.27,Matches
227,Zé Guilherme,br BRA,DF,Bahia,21-080,2005,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
228,Gustavinho,br BRA,MF,RB Bragantino,22-042,2004,14,7,639,7.1,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
229,Gustavo,br BRA,MF,Coritiba,23-266,2002,4,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
230,Luiz Gustavo,br BRA,MF,Athletico Paranaense,38-316,1987,13,12,994,11,2,0,2,2,0,0,3,0,0.18,0,0.18,0.18,0.18,Matches
231,Bruno Henrique,br BRA,"MF,FW",Flamengo,35-156,1990,12,2,354,3.9,0,1,1,0,0,0,2,0,0,0.25,0.25,0,0.25,Matches
232,Bruno Henrique,br BRA,MF,Internacional,36-226,1989,15,11,908,10.1,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
