Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
324,James Penrice,sct SCO,DF,AEK Athens,26,1998,20,16,"1,363",15.1,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
325,Roberto Pereyra,ar ARG,MF,AEK Athens,34,1991,10,6,429,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Bruno Pérez,cl CHI,MF,Asteras Tripoli,23,2002,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,Carles Pérez,es ESP,"MF,FW",Aris,27,1998,23,19,"1,532",17,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches
328,Facundo Pérez,ar ARG,"MF,FW",Larissa,26,1999,33,26,"2,113",23.5,4,0,4,4,0,0,8,0,0.17,0,0.17,0.17,0.17,Matches
329,Rubén Pérez,es ESP,MF,AE Kifisia,36,1989,24,20,"1,499",16.7,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
330,Alex Petkov,bg BUL,DF,AE Kifisia,26,1999,22,18,"1,695",18.8,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
331,Frantzdy Pierrot,ht HAI,FW,AEK Athens,30,1995,9,5,539,6,2,2,4,2,0,0,2,0,0.33,0.33,0.67,0.33,0.67,Matches
332,Stavros Pilios,al ALB,DF,AEK Athens,24,2000,24,16,"1,506",16.7,0,2,2,0,0,0,5,0,0,0.12,0.12,0,0.12,Matches
333,Óscar Pinchi,es ESP,"MF,FW",Volos N.F.C.,29,1996,12,5,522,5.8,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
334,Orbelín Pineda,mx MEX,MF,AEK Athens,29,1996,31,29,"2,474",27.5,5,2,7,5,0,0,6,0,0.18,0.07,0.25,0.18,0.25,Matches
335,Lorenzo Pirola,it ITA,DF,Olympiacos,23,2002,23,22,"1,966",21.8,1,1,2,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,Matches
336,Stavros Pnevmonidis,gr GRE,MF,Olympiacos,18,2006,2,2,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Stavros Pnevmonidis,gr GRE,MF,Atromitos,18,2006,14,6,610,6.8,2,2,4,2,0,0,1,0,0.3,0.3,0.59,0.3,0.59,Matches
338,Daniel Podence,pt POR,MF,Olympiacos,29,1995,21,16,"1,304",14.5,2,6,8,2,0,0,4,0,0.14,0.41,0.55,0.14,0.55,Matches
339,Jakub Pokorný,cz CZE,DF,AE Kifisia,28,1996,29,27,"2,275",25.3,2,0,2,2,0,0,6,0,0.08,0,0.08,0.08,0.08,Matches
340,Jorge Pombo,es ESP,"MF,FW",AE Kifisia,31,1994,35,33,"2,659",29.5,10,3,13,7,3,3,6,0,0.34,0.1,0.44,0.24,0.34,Matches
341,Konstantinos Pomonis,gr GRE,DF,Asteras Tripoli,23,2002,13,8,710,7.9,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches
342,Alexandros Pothas,gr GRE,MF,AE Kifisia,18,2006,3,1,132,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
343,Achilleas Poungouras,gr GRE,DF,OFI Crete,29,1995,13,12,"1,079",12,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
344,Giorgos Prountzos,gr GRE,MF,Volos N.F.C.,21,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
345,Quini,es ESP,DF,Atromitos,35,1989,18,12,"1,198",13.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
346,Uroš Račić,rs SRB,MF,Aris,27,1998,29,28,"2,468",27.4,3,2,5,3,0,1,6,0,0.11,0.07,0.18,0.11,0.18,Matches
347,Vasilios Rados,gr GRE,MF,Panetolikos,20,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
348,Baba Rahman,gh GHA,DF,PAOK,31,1994,25,20,"1,920",21.3,2,2,4,2,0,0,3,0,0.09,0.09,0.19,0.09,0.19,Matches
349,Marko Rakonjac,me MNE,FW,OFI Crete,25,2000,13,1,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
350,Moisés Ramírez,ec ECU,GK,AE Kifisia,24,2000,28,28,"2,520",28,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Filipe Relvas,pt POR,DF,AEK Athens,25,1999,28,27,"2,417",26.9,1,0,1,1,0,0,7,1,0.04,0,0.04,0.04,0.04,Matches
