Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
120,Kambala,mz MOZ,MF,Polokwane City,34-287,1991,28,28,"2,476",27.5,1,0,1,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
121,Elmo Kambindu,na NAM,FW,AmaZulu,33-009,1993,7,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Sirgio Kammies,za RSA,"DF,MF",Chippa United,28-117,1998,27,26,"2,137",23.7,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
123,Lesedi Kapinga,za RSA,MF,Orbit College,31-010,1995,4,4,266,3,1,0,1,1,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches
124,Jerome Karlese,,"FW,MF",Lamontville Golden Arrows,,,18,5,635,7.1,2,3,5,2,0,0,3,0,0.28,0.43,0.71,0.28,0.71,Matches
125,Darren Keet,za RSA,GK,Maritzburg United,36-303,1989,27,26,"2,392",26.6,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Mory Keita,ci CIV,MF,TS Galaxy,29-290,1996,17,5,575,6.4,3,1,4,2,1,1,1,0,0.47,0.16,0.63,0.31,0.47,Matches
127,Gomolemo Kekana,za RSA,MF,Mamelodi Sundowns,19-332,2006,1,1,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
128,Grant Kekana,za RSA,DF,Mamelodi Sundowns,33-216,1992,17,15,"1,322",14.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
129,Sapholwethu Kelepu,za RSA,MF,Polokwane City,27-017,1999,11,4,414,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
130,Muzomuhle Khanyi,za RSA,FW,Stellenbosch FC,27-066,1999,11,4,460,5.1,1,1,2,1,0,0,4,0,0.2,0.2,0.39,0.2,0.39,Matches
131,Thato Khiba,za RSA,MF,Stellenbosch FC,29-303,1996,12,9,756,8.4,1,0,1,1,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches
132,Thato Khiba,za RSA,MF,Sekhukhune United FC,29-303,1996,11,6,544,6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
133,Keabetswe Khonyane,za RSA,DF,Siwelele,22-095,2004,6,5,475,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Gomolemo Khoto,,MF,Orbit College,,,19,10,970,10.8,3,0,3,3,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches
135,Malibongwe Khoza,za RSA,DF,Mamelodi Sundowns,22-080,2004,7,7,630,7,1,0,1,1,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
136,Edson Khumalo,za RSA,DF,Marumo Gallants FC,26-241,1999,4,2,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Luyanda Khumalo,,MF,Richards Bay FC,,,8,0,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
138,Mlungisi Khumalo,za RSA,FW,Marumo Gallants FC,28-199,1997,4,3,199,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Thokozani Khumalo,za RSA,"FW,MF",Lamontville Golden Arrows,31-151,1995,11,7,484,5.4,3,2,5,3,0,0,1,0,0.56,0.37,0.93,0.56,0.93,Matches
140,Letsie Koapeng,za RSA,FW,Maritzburg United,34-143,1992,15,5,510,5.7,2,0,2,2,0,0,1,0,0.35,0,0.35,0.35,0.35,Matches
141,Letsie Koapeng,za RSA,FW,Orbit College,34-143,1992,3,3,240,2.7,1,0,1,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
142,Kobamelo Kodisang,za RSA,MF,Stellenbosch FC,26-280,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Philani Kumalo,za RSA,"FW,MF",Lamontville Golden Arrows,25-152,2001,14,9,634,7,0,5,5,0,0,0,1,0,0,0.71,0.71,0,0.71,Matches
144,Siphesihle Kunene,za RSA,DF,Richards Bay FC,21-261,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Thabiso Kutumela,za RSA,FW,AmaZulu,32-336,1993,15,8,613,6.8,2,0,2,2,0,0,1,0,0.29,0,0.29,0.29,0.29,Matches
146,Sinoxolo Kwayiba,za RSA,MF,Orlando Pirates,29-109,1997,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
