,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
111,Julius Dirksen,nl NED,DF,Go Ahead Eagles,22,2003,18,14,"1,158",12.9,2,0,2,2,0,0,4,0,0.16,0,0.16,0.16,0.16,Matches
112,Kasper Dolberg,dk DEN,FW,Ajax,27,1997,22,12,"1,095",12.2,3,3,6,3,0,0,1,0,0.25,0.25,0.49,0.25,0.49,Matches
113,Yoon Doyong,kr KOR,MF,Excelsior,18,2006,6,0,103,1.1,1,0,1,1,0,0,1,0,0.87,0,0.87,0.87,0.87,Matches
114,Couhaib Driouech,ma MAR,MF,PSV,23,2002,29,5,964,10.7,4,6,10,4,0,0,4,0,0.37,0.56,0.93,0.37,0.93,Matches
115,Joel Drommel,nl NED,GK,Sparta Rotterdam,28,1996,34,34,"3,060",34,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
116,Billy van Duijl,nl NED,DF,AZ Alkmaar,19,2005,7,6,585,6.5,1,0,1,1,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
117,Sem van Duijn,nl NED,"FW,MF",Telstar,21,2004,14,12,"1,005",11.2,5,2,7,5,0,0,1,0,0.45,0.18,0.63,0.45,0.63,Matches
118,Lance Duijvestijn,nl NED,MF,Fortuna Sittard,26,1999,15,15,"1,249",13.9,3,2,5,3,0,0,1,0,0.22,0.14,0.36,0.22,0.36,Matches
119,Lance Duijvestijn,nl NED,MF,Sparta Rotterdam,26,1999,13,6,697,7.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
120,Mike van Duinen,nl NED,FW,Excelsior,33,1991,28,5,720,8,1,2,3,1,0,0,1,0,0.12,0.25,0.37,0.12,0.37,Matches
121,Kiano Dyer,eng ENG,MF,Volendam,18,2006,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Oliver Edvardsen,no NOR,"MF,FW",Ajax,26,1999,18,6,640,7.1,0,1,1,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches
123,Victor Edvardsen,se SWE,"FW,MF",Go Ahead Eagles,29,1996,26,22,"1,992",22.1,4,7,11,4,0,0,4,0,0.18,0.32,0.5,0.18,0.5,Matches
124,Lushendry Edward Martes,nl NED,DF,Sparta Rotterdam,17,2008,13,12,936,10.4,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
125,Espen van Ee,nl NED,MF,Heerenveen,22,2003,1,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Mike Eerdhuijzen,nl NED,DF,Utrecht,25,2000,9,6,333,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
127,Mats Egbring,nl NED,DF,Heerenveen,18,2006,8,1,169,1.9,0,1,1,0,0,0,1,0,0,0.53,0.53,0,0.53,Matches
128,Nils Eggens,nl NED,FW,Groningen,20,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Remi van Ekeris,nl NED,MF,Telstar,22,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Rafik el Arguioui,nl NED,MF,Utrecht,20,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Noam Emeran,fr FRA,MF,Groningen,22,2002,4,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
