,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
79,Oscar Cortés,co COL,MF,Rangers,21,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Joel Cotterill,wls WAL,MF,Dundee,20,2004,13,9,761,8.5,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
81,Sam Culbert,sct SCO,FW,Livingston,19,2006,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Findlay Curtis,sct SCO,"MF,FW",Kilmarnock,18,2006,14,13,"1,068",11.9,5,1,6,5,0,0,1,0,0.42,0.08,0.51,0.42,0.51,Matches
83,Findlay Curtis,sct SCO,MF,Rangers,18,2006,10,1,200,2.2,1,0,1,1,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
84,Tomáš Čvančara,cz CZE,FW,Celtic,24,2000,9,7,523,5.8,2,1,3,1,1,1,2,0,0.34,0.17,0.52,0.17,0.34,Matches
85,Marcus Dackers,wls WAL,FW,Kilmarnock,22,2003,24,12,"1,149",12.8,2,0,2,2,0,0,4,0,0.16,0,0.16,0.16,0.16,Matches
86,Djenario Daniels,sr SUR,FW,Kilmarnock,23,2002,7,4,327,3.6,2,0,2,2,0,0,2,0,0.55,0,0.55,0.55,0.55,Matches
87,Danilo,br BRA,"MF,FW",Rangers,26,1999,14,6,565,6.3,3,0,3,3,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
88,Emmanuel Danso,gh GHA,MF,Livingston,24,2000,13,7,569,6.3,0,1,1,0,0,0,3,0,0,0.16,0.16,0,0.16,Matches
89,Robbie Deas,sct SCO,DF,Kilmarnock,25,2000,36,35,"3,119",34.7,2,2,4,2,0,0,12,0,0.06,0.06,0.12,0.06,0.12,Matches
90,Aidan Denholm,sct SCO,FW,Livingston,21,2003,2,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Cyriel Dessers,ng NGA,FW,Rangers,30,1994,3,1,137,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
92,Jacob Devaney,ie IRL,MF,St Mirren,18,2007,13,12,985,10.9,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
93,Cammy Devlin,au AUS,MF,Hearts,27,1998,28,27,"2,388",26.5,2,0,2,2,0,0,6,0,0.08,0,0.08,0.08,0.08,Matches
94,Nicky Devlin,sct SCO,"DF,MF",Aberdeen,31,1993,29,24,"2,190",24.3,1,0,1,1,0,0,7,1,0.04,0,0.04,0.04,0.04,Matches
95,Yan Dhanda,eng ENG,MF,Dundee,26,1998,28,26,"2,146",23.8,2,0,2,1,1,2,4,1,0.08,0,0.08,0.04,0.04,Matches
96,Paul Digby,eng ENG,MF,Dundee,30,1995,14,8,703,7.8,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
97,Malik Dijksteel,nl NED,MF,St Mirren,24,2001,7,0,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Mohamed Diomandé,ci CIV,MF,Rangers,23,2001,31,20,"1,718",19.1,1,4,5,1,0,0,5,0,0.05,0.21,0.26,0.05,0.26,Matches
99,Nasser Djiga,bf BFA,DF,Rangers,22,2002,25,23,"1,949",21.7,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
100,Ivan Dolček,hr CRO,"FW,MF",Dundee United,25,2000,28,10,"1,019",11.3,5,2,7,5,0,0,3,0,0.44,0.18,0.62,0.44,0.62,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Ryan Don Naderi,de GER,"FW,MF",Rangers,22,2003,9,5,460,5.1,1,1,2,1,0,0,0,0,0.2,0.2,0.39,0.2,0.39,Matches
102,Coll Donaldson,sct SCO,DF,Falkirk,30,1995,10,6,537,6,0,1,1,0,0,0,3,0,0,0.17,0.17,0,0.17,Matches
103,Aaron Donnelly,nir NIR,DF,Dundee,22,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Liam Donnelly,nir NIR,"MF,DF",St Mirren,29,1996,17,10,855,9.5,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
105,Colby Donovan,sct SCO,DF,Celtic,18,2006,14,7,621,6.9,0,2,2,0,0,0,2,0,0,0.29,0.29,0,0.29,Matches
106,Alfie Dorrington,eng ENG,DF,Aberdeen,20,2005,6,3,328,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Luke Douglas,wls WAL,FW,St Mirren,30,1995,3,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Kieran Dowell,eng ENG,FW,Rangers,27,1997,2,1,125,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
109,Ryan Edwards,eng ENG,DF,Falkirk,31,1993,4,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Owen Elding,ie IRL,FW,Hibernian,19,2006,13,11,865,9.6,3,0,3,3,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
111,Arne Engels,be BEL,MF,Celtic,21,2003,30,22,"2,011",22.3,5,3,8,2,3,3,6,0,0.22,0.13,0.36,0.09,0.22,Matches
112,Julius Eskesen,dk DEN,MF,Dundee United,26,1999,14,3,431,4.8,1,0,1,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
113,Bert Esselink,nl NED,DF,Dundee United,25,1999,21,19,"1,631",18.1,1,0,1,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
114,Kion Etete,eng ENG,FW,St Mirren,23,2001,4,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Lukas Fadinger,at AUT,MF,Motherwell,24,2000,34,34,"2,907",32.3,3,2,5,3,0,0,3,1,0.09,0.06,0.15,0.09,0.15,Matches
116,Thomas Falconer,,DF,St Mirren,,,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Neil Farrugia,ie IRL,"MF,FW",Dundee United,26,1999,13,10,884,9.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
118,Babacar Fati,gw GNB,"MF,DF",Livingston,25,2000,12,6,597,6.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
119,Emmanuel Fernandez,ng NGA,DF,Rangers,23,2001,27,25,"2,268",25.2,5,0,5,5,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches
120,Will Ferry,ie IRL,MF,Dundee United,24,2000,33,32,"2,885",32.1,4,6,10,4,0,0,3,0,0.12,0.19,0.31,0.12,0.31,Matches
121,Stuart Findlay,sct SCO,DF,Hearts,29,1995,34,34,"3,026",33.6,5,1,6,5,0,0,5,0,0.15,0.03,0.18,0.15,0.18,Matches
122,Daniel Finlayson,nir NIR,"DF,MF",Livingston,24,2001,35,35,"3,096",34.4,0,1,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches
123,Alan Forrest,sct SCO,MF,Hearts,28,1996,13,3,297,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
124,James Forrest,sct SCO,"MF,FW",Celtic,34,1991,27,3,787,8.7,1,1,2,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,Matches
125,Kai Fotheringham,sct SCO,MF,Dundee United,22,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
