,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
99,Jiří Fleišman,cz CZE,DF,Karviná,40,1984,30,24,"2,065",22.9,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
100,Jiří Floder,cz CZE,GK,Mladá Boleslav,28,1997,25,25,"2,250",25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Jacques Fokam-Sandeu,fr FRA,FW,Dukla Prague,23,2001,12,2,346,3.8,1,0,1,1,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
102,Jan Fortelny,cz CZE,MF,Jablonec,26,1999,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
103,Jan Fortelny,cz CZE,"MF,FW",Teplice,26,1999,10,4,427,4.7,1,1,2,1,0,0,1,1,0.21,0.21,0.42,0.21,0.42,Matches
104,Tomas Fruhwald,sk SVK,GK,Bohemians 1905,22,2002,10,10,915,10.2,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
105,Christián Frýdek,cz CZE,"MF,FW",Baník Ostrava,26,1999,14,7,689,7.7,0,1,1,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
106,Michal Frydrych,cz CZE,DF,Baník Ostrava,35,1990,20,18,"1,667",18.5,3,0,3,3,0,0,6,0,0.16,0,0.16,0.16,0.16,Matches
107,Michal Fukala,cz CZE,DF,Fastav Zlín,24,2000,25,24,"2,137",23.7,0,2,2,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
108,Emmanuel Fully,lr LBR,DF,Teplice,19,2006,8,4,438,4.9,0,0,0,0,0,0,3,2,0,0,0,0,0,Matches
109,Emmanuel Fully,lr LBR,DF,Slavia Prague,19,2006,3,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Jakub Fulnek,cz CZE,MF,Mladá Boleslav,31,1994,6,2,197,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Šimon Gabriel,cz CZE,DF,Slovan Liberec,24,2001,12,12,"1,080",12,2,0,2,2,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
112,Pavel Gaszczyk,cz CZE,MF,Dukla Prague,20,2005,14,7,594,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Dantaye Gilbert,tt TRI,"MF,FW",Dukla Prague,20,2004,16,10,992,11,2,0,2,2,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
114,Abdallah Gning,sn SEN,FW,Karviná,26,1998,19,18,"1,401",15.6,6,2,8,6,0,0,1,0,0.39,0.13,0.51,0.39,0.51,Matches
115,Abdallah Gning,sn SEN,FW,Baník Ostrava,26,1998,15,14,"1,135",12.6,3,1,4,3,0,0,3,0,0.24,0.08,0.32,0.24,0.32,Matches
116,Emmanuel Godwin,ng NGA,MF,FK Pardubice,20,2005,11,9,688,7.6,0,1,1,0,0,0,1,2,0,0.13,0.13,0,0.13,Matches
117,Dario Grgić,rs SRB,FW,Sigma Olomouc,22,2003,5,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
